id,edge_id,s_id,e_id,direction,class,attribute,width,length,speed_limit,line_string
399489,681034,782628,738597,3,0x00,0x02,11,72,100,"LINESTRING (116.4706 39.97242, 116.47042 39.97226, 116.47019 39.97205, 116.47015 39.97202, 116.47004 39.97193)"
399490,681035,752763,744588,3,0x01,0x02,15,146,80,"LINESTRING (116.46955 39.97137, 116.46947 39.97142, 116.46941 39.97146, 116.4693 39.97153, 116.46928 39.97155, 116.46914 39.97164, 116.46904 39.97171, 116.46895 39.97177, 116.46884 39.97184, 116.46875 39.9719, 116.46824 39.97221)"
399491,681036,714760,714763,2,0x01,0x02,15,141,80,"LINESTRING (116.46817 39.97207, 116.46872 39.97172, 116.46882 39.97165, 116.46902 39.97153, 116.46917 39.97144, 116.46933 39.97133, 116.46936 39.97131, 116.46945 39.97126)"
399492,681039,717197,717198,2,0x03,0x01,7,362,40,"LINESTRING (116.46654 39.97127, 116.46669 39.97117, 116.46699 39.97097, 116.46741 39.97069, 116.46749 39.97064, 116.46761 39.97055, 116.46772 39.97048, 116.46782 39.97042, 116.46792 39.97036, 116.46796 39.97033, 116.46812 39.97021, 116.46829 39.97009, 116.4687 39.96982, 116.46898 39.96967, 116.46907 39.96964, 116.46919 39.96962, 116.4694 39.96962, 116.46947 39.96963, 116.46978 39.96967, 116.47 39.9697)"
399502,681049,743195,777386,3,0x03,0x0a,11,43,60,"LINESTRING (116.41746 39.98894, 116.41719 39.98893, 116.41711 39.98893, 116.41696 39.98892)"
399503,681050,717199,717278,2,0x03,0x01,7,354,40,"LINESTRING (116.4718 39.97123, 116.47179 39.97156, 116.47177 39.97187, 116.47174 39.9719, 116.47169 39.97193, 116.47164 39.97195, 116.47152 39.97203, 116.47104 39.97233, 116.47088 39.97242, 116.47071 39.97253, 116.47067 39.97256, 116.47054 39.97264, 116.47051 39.97267, 116.47044 39.97271, 116.47034 39.97277, 116.4703 39.97279, 116.47017 39.97288, 116.47005 39.97296, 116.47002 39.97298, 116.46976 39.97316, 116.46973 39.97318, 116.46963 39.97324, 116.46948 39.97336, 116.46942 39.97341, 116.46939 39.97343, 116.46927 39.97354)"
399504,681051,736355,783328,2,0x03,0x0a,11,117,50,"LINESTRING (116.43274 39.96977, 116.43268 39.96977, 116.43263 39.96976, 116.43255 39.96976, 116.43243 39.96975, 116.43237 39.96975, 116.43209 39.96974, 116.43201 39.96973, 116.43189 39.96973, 116.43177 39.96973, 116.43156 39.96972, 116.43137 39.96971)"
399505,681052,780413,778396,3,0x01,0x02,11,95,80,"LINESTRING (116.38034 39.96815, 116.38034 39.96809, 116.38033 39.96796, 116.38027 39.96752, 116.38024 39.9673)"
399506,681053,714735,714734,3,0x01,0x02,15,182,80,"LINESTRING (116.39324 39.96841, 116.39428 39.96843, 116.39455 39.96844, 116.39463 39.96844, 116.39471 39.96844, 116.39537 39.96846)"
399507,681054,737800,714747,3,0x01,0x02,15,190,80,"LINESTRING (116.39537 39.96864, 116.3947 39.96862, 116.39466 39.96862, 116.39463 39.96862, 116.39454 39.96861, 116.39404 39.9686, 116.39314 39.96857)"
399508,681055,20000779390,779116,3,0x00,0x03,7,555,40,"LINESTRING (116.375 39.9873, 116.37563 39.98731, 116.37599 39.98731, 116.3763 39.98729, 116.37644 39.98727, 116.37657 39.98724, 116.37722 39.98707, 116.37738 39.98703, 116.37757 39.987, 116.37784 39.98696, 116.37813 39.98695, 116.37834 39.98697, 116.37851 39.98699, 116.37864 39.98701, 116.37872 39.98702, 116.37887 39.98705, 116.37897 39.98709, 116.37909 39.98715, 116.37923 39.98723, 116.37931 39.98729, 116.37936 39.98735, 116.37943 39.98742, 116.37944 39.98744, 116.37947 39.98749, 116.37949 39.98755, 116.37951 39.98762, 116.37952 39.98772, 116.37953 39.98779, 116.37952 39.98785, 116.37951 39.98793, 116.37949 39.98799, 116.37947 39.98803, 116.37946 39.98806, 116.3794 39.98815, 116.37932 39.98824, 116.37926 39.98828, 116.37896 39.98849, 116.37884 39.98861)"
399509,681056,779058,780021,3,0x03,0x01,11,97,60,"LINESTRING (116.37992 39.9485, 116.37994 39.94857, 116.37994 39.9487, 116.37994 39.9488, 116.37994 39.94887, 116.37994 39.94892, 116.37994 39.94901, 116.37994 39.94912, 116.37996 39.9492, 116.37997 39.94923, 116.38001 39.94931, 116.38005 39.94935)"
399510,681059,737870,773026,2,0x01,0x07,7,65,30,"LINESTRING (116.4895 39.95293, 116.48949 39.95254, 116.48949 39.95244, 116.4895 39.95234)"
399511,681060,773026,737938,2,0x01,0x07,7,148,30,"LINESTRING (116.4895 39.95234, 116.48951 39.95227, 116.48951 39.95218, 116.4896 39.95137, 116.48972 39.95102)"
399533,681077,773706,741193,3,0x03,0x0a,11,98,60,"LINESTRING (116.41483 39.98886, 116.41368 39.98883)"
399539,681084,773713,776804,3,0x03,0x0a,11,101,60,"LINESTRING (116.43394 39.98944, 116.43343 39.98942, 116.43276 39.98941)"
399540,681085,743783,773713,3,0x03,0x0a,11,50,60,"LINESTRING (116.43453 39.98946, 116.43394 39.98944)"
399579,681112,746063,782847,3,0x03,0x02,11,89,60,"LINESTRING (116.40763 39.9972, 116.40762 39.9964)"
399580,681113,782847,773702,3,0x03,0x01,7,15,40,"LINESTRING (116.40762 39.9964, 116.40751 39.99629)"
399582,681115,782847,776774,3,0x03,0x02,11,82,60,"LINESTRING (116.40762 39.9964, 116.4076 39.99566)"
399583,681116,782848,746067,3,0x03,0x02,11,88,60,"LINESTRING (116.40783 39.99641, 116.40784 39.9972)"
399584,681117,776773,782848,3,0x03,0x02,11,82,60,"LINESTRING (116.4078 39.99567, 116.40783 39.99641)"
399586,681119,782850,756199,3,0x03,0x02,11,7,60,"LINESTRING (116.40759 39.99508, 116.40759 39.99502)"
399587,681120,776774,782850,3,0x03,0x02,11,64,60,"LINESTRING (116.4076 39.99566, 116.40759 39.99508)"
399588,681121,782851,776773,3,0x03,0x02,11,65,60,"LINESTRING (116.40778 39.99508, 116.4078 39.99567)"
399589,681122,779593,782851,3,0x03,0x02,11,7,60,"LINESTRING (116.40778 39.99502, 116.40778 39.99508)"
